Name,Number,Code TLA,Codename,Pre-release codename,Manufacturer,FCC,TENAA,Canada,EEC,Bluetooth,Wifi
Nokia 3.1 Plus (Cricket),TA-1124,RHD,,,,,,,,,
Nokia 3.1 Plus,TA-1104,ROO / ROON?,Rooster,,,,,,,,
Nokia 3.1 Plus,TA-1113,ROO / ROON?,Rooster,,,,,,,,
Nokia 3.1 Plus,TA-1115,ROO / ROON?,Rooster,,,,,https://sms-sgs.ic.gc.ca/equipmentSearch/searchRadioEquipments?index=11&execution=e1s2&_eventId=showEquipmentDetails,,,
Nokia 3.1 Plus,TA-1118,ROO / ROON?,Rooster,,,,,,,,
Nokia 3.1 Plus,TA-1125,ROO / ROON?,Rooster,,,,,,,,
Nokia 3.1,TA-1070,ES2 (ES2N?),Essential2,,,,,,,,
Nokia 3.1A,TA-1140,EAG,Eagles,,,https://fccid.io/2AJOTTA1140,,,,https://launchstudio.bluetooth.com/ListingDetails/77585,
Nokia 3.1C,TA-1141,EAG,Eagles,,,https://fccid.io/2AJOTTA1140,,,,,
Nokia 3.2,TA-1154,DPL,Deadpool,,Wingtech? / TSMT? (India),,,,NPU,,http://certifications.prod.wi-fi.org/pdf/certificate/public/download?cid=WFA82540
Nokia 3.2,TA-1156,DPL,Deadpool,,Wingtech? / TSMT? (India),,,,NPU,,http://certifications.prod.wi-fi.org/pdf/certificate/public/download?cid=WFA82296
Nokia 3.2,TA-1159,DPL,Deadpool,,Wingtech? / TSMT? (India),https://fccid.io/2AJOTTA-1159,,,NPU,,http://certifications.prod.wi-fi.org/pdf/certificate/public/download?cid=WFA82538
Nokia 3.2,TA-1161,DPL,Deadpool,,Wingtech? / TSMT? (India),,,,NPU,,http://certifications.prod.wi-fi.org/pdf/certificate/public/download?cid=WFA82541
Nokia 3.2,TA-1164,DPL,Deadpool,,Wingtech? / TSMT? (India),,,,,,http://certifications.prod.wi-fi.org/pdf/certificate/public/download?cid=WFA82539
Nokia 3310 (Dual SIM),TA-1030,,,,,,,,,,
Nokia 3310 3G,TA-1006,,,,,,,,,,
Nokia 3310 3G,TA-1022,,,,,,,,,,
Nokia 3310 3G,TA-1036,,,,,,,https://sms-sgs.ic.gc.ca/equipmentSearch/searchRadioEquipments?index=5&execution=e1s2&_eventId=showEquipmentDetails,,,
Nokia 3310 4G,TA-1077,Z4G,Zunk4G,,,,,,,,
Nokia 3310,TA-1008,,,,,,,,,,
Nokia 3V?,TA-1153,,,,WingTech,https://fccid.io/2AJOTTA-1182,,,,https://launchstudio.bluetooth.com/ListingDetails/84915,http://certifications.prod.wi-fi.org/pdf/certificate/public/download?cid=WFA83679
Nokia 3V?,TA-1182,DPL_VZW,,,WingTech,https://fccid.io/2AJOTTA-1182,,,,https://launchstudio.bluetooth.com/ListingDetails/84915,http://certifications.prod.wi-fi.org/pdf/certificate/public/download?cid=WFA83219
Nokia 4.2,TA-1133,PAN,,,Wingtech? / TSMT? (India),,,https://sms-sgs.ic.gc.ca/equipmentSearch/searchRadioEquipments?index=14&execution=e1s2&_eventId=showEquipmentDetails,,,http://certifications.prod.wi-fi.org/pdf/certificate/public/download?cid=WFA82276
Nokia 4.2,TA-1149,PAN,,,Wingtech? / TSMT? (India),,,https://sms-sgs.ic.gc.ca/equipmentSearch/searchRadioEquipments?index=16&execution=e1s2&_eventId=showEquipmentDetails,,,http://certifications.prod.wi-fi.org/pdf/certificate/public/download?cid=WFA82277
Nokia 4.2,TA-1150,PAN,,,Wingtech? / TSMT? (India),https://fccid.io/2AJOTTA-1150,,,,,http://certifications.prod.wi-fi.org/pdf/certificate/public/download?cid=WFA82275
Nokia 4.2,TA-1152,PAN,,,Wingtech? / TSMT? (India),,,,,,http://certifications.prod.wi-fi.org/pdf/certificate/public/download?cid=WFA82278
Nokia 4.2,TA-1157,PAN,,,Wingtech? / TSMT? (India),https://fccid.io/2AJOTTA-1157,,,NPU,,http://certifications.prod.wi-fi.org/pdf/certificate/public/download?cid=WFA81864
Nokia 400 4G? UniSoC+GAFP? (India),TA-1208,,,,,,,,,https://launchstudio.bluetooth.com/ListingDetails/90065,http://certifications.prod.wi-fi.org/pdf/certificate/public/download?cid=WFA92200
Nokia 5 (Dual SIM),TA-1044,ND1,Core / Heart?,,,,,,,,
Nokia 5 (Dual SIM),TA-1053,ND1,Core / Heart?,,,,,,,,
Nokia 5,TA-1024,ND1,Core / Heart?,,,,,,,,
Nokia 5,TA-1027,ND1,Core / Heart?,,,,,https://sms-sgs.ic.gc.ca/equipmentSearch/searchRadioEquipments?index=2&execution=e1s2&_eventId=showEquipmentDetails,,,
Nokia 5.1 (Dual SIM),TA-1075,CO2 / CO2N,Core2,,,,,,,,
Nokia 5.1 (Dual SIM),TA-1076,CO2 / CO2N,Core2,,,,,,,,
Nokia 5.1 (Single SIM),TA-1061,CO2 / CO2N,Core2,,,,,,,,
Nokia 5.1 (Single SIM),TA-1081,CO2 / CO2N,Core2,,,,,https://sms-sgs.ic.gc.ca/equipmentSearch/searchRadioEquipments?index=8&execution=e1s2&_eventId=showEquipmentDetails,,,
Nokia 5.1 Plus (Nokia X5) (Dual SIM),TA-1109,PDA / ND1?,Panda / Bravo?,,,,,,,,
Nokia 5.1 Plus (Nokia X5),TA-1102,PDA / ND1?,Panda / Bravo?,,,,,,,,
Nokia 5.1 Plus (Nokia X5),TA-1105,PDA / ND1?,Panda / Bravo?,,,,,,,,
Nokia 5.1 Plus (Nokia X5),TA-1108,PDA / ND1?,Panda / Bravo?,,,,,,,,
Nokia 5.1 Plus (Nokia X5),TA-1112,PDA / ND1?,Panda / Bravo?,,,,,,,,
Nokia 5.1 Plus (Nokia X5),TA-1120,PDA / ND1?,Panda / Bravo?,,,,,,,,
Nokia 5.1,TA-1088,CO2 / CO2N,Core2,,,,,,,,
Nokia 5.3 EEC?,TA-1234,,Captain America,,,,,https://launchstudio.bluetooth.com/ListingDetails/100323,https://fccid.io/EEC/RU0000045272,,http://certifications.prod.wi-fi.org/pdf/certificate/public/download?cid=WFA94272
Nokia 5.3,TA-1223,,Captain America,,,,,,,https://launchstudio.bluetooth.com/ListingDetails/100323,http://certifications.prod.wi-fi.org/pdf/certificate/public/download?cid=WFA96592
Nokia 5.3,TA-1227,,Captain America,,,,,,,https://launchstudio.bluetooth.com/ListingDetails/100323,http://certifications.prod.wi-fi.org/pdf/certificate/public/download?cid=WFA96596
Nokia 5.3,TA-1229,,Captain America,,,,,,,https://launchstudio.bluetooth.com/ListingDetails/100323,http://certifications.prod.wi-fi.org/pdf/certificate/public/download?cid=WFA96594
Nokia 5310 EEC?,TA-1212,,,,,,http://shouji.tenaa.com.cn/Mobile/MobileDetail.aspx?code=g61T3CysTlSvI%2bQgKH174QJzWtglPEAeL47s8za2vsnMStjKs4s7aA%3d%3d,,https://fccid.io/EEC/RU0000045271,,
Nokia 5310,TA-1230,,,,,,,,,,
Nokia 6 (Australia?),TA-1033,PLE,Plate,,,,,,,,
Nokia 6 (China),TA-1000,D1C,Plate,,,,,,,,
Nokia 6 (Dual SIM) (India?),TA-1021,PLE,Plate,,,,,,,,
Nokia 6 (Dual SIM) (LTA?),TA-1025,PLE,Plate,,,,,https://sms-sgs.ic.gc.ca/equipmentSearch/searchRadioEquipments?index=1&execution=e1s2&_eventId=showEquipmentDetails,,,
Nokia 6 (Hong Kong, Macau, Taiwan),TA-1003,D1C,Plate,,,,,,,,
Nokia 6,TA-1039,PLE,Plate,,,,,,,,
Nokia 6.1 (Dual SIM),TA-1054,PL2,Plate2,,,,,,,,
Nokia 6.1 Plus (Nokia X6),TA-1083,DRG,Dragon,Totoro,,,,,,,
Nokia 6.1 Plus (Nokia X6),TA-1099,DRG,Dragon,Totoro,,,,,,,
Nokia 6.1 Plus (Nokia X6),TA-1103,DRG,Dragon,Totoro,,,,,,,
Nokia 6.1 Plus (Nokia X6),TA-1116,DRG,Dragon,Totoro,,,,,,,
Nokia 6.1,TA-1016,PL2,Plate2,,,,,https://sms-sgs.ic.gc.ca/equipmentSearch/searchRadioEquipments?index=0&execution=e1s2&_eventId=showEquipmentDetails,,,
Nokia 6.1,TA-1043,PL2,Plate2,,,,,,,,
Nokia 6.1,TA-1045,PL2,Plate2,,,,,,,,
Nokia 6.1,TA-1050,PL2,Plate2,,,,,,,,
Nokia 6.1,TA-1068,PL2,Plate2,,,,,,,,
Nokia 6.2 EEC,TA-1198,SLD,Star-lord?,,,,,,https://fccid.io/EEC/RU0000043605,,http://certifications.prod.wi-fi.org/pdf/certificate/public/download?cid=WFA90458
